nShell	Diam	Acoll
1	346.80737679	14.1682754072	14.1682754072
2	342.606223963	27.995398088	27.995398088
3	338.443387664	41.4885791517	41.4885791517
4	334.318518626	54.6548895681	54.6548895681
5	330.231270762	67.5012627924	67.5012627924
6	326.181301135	80.0344973428	80.0344973428
7	322.168269926	92.2612593297	92.2612593297
8	318.19184041	104.188084939	104.188084939
9	314.251678925	115.82138287	115.82138287
10	310.347454846	127.167436728	127.167436728
11	306.478840556	138.232407372	138.232407372
12	302.645511422	149.02233522	149.02233522
13	298.847145763	159.543142512	159.543142512
14	295.083424828	169.800635535	169.800635535
15	291.354032767	179.800506795	179.800506795
16	287.658656604	189.548337166	189.548337166
17	283.996986214	199.049597983	199.049597983
18	280.368714294	208.309653109	208.309653109
19	276.77353634	217.333760958	217.333760958
20	273.211150618	226.127076479	226.127076479
21	269.681258144	234.694653109	234.694653109
22	266.183562655	243.041444683	243.041444683
23	262.717770586	251.172307318	251.172307318
24	259.283591046	259.092001251	259.092001251
25	255.88073579	266.805192654	266.805192654
26	252.508919201	274.316455406	274.316455406
27	249.167858263	281.63027284	281.63027284
28	245.857272535	288.751039452	288.751039452
29	242.576884134	295.683062581	295.683062581
30	239.326417705	302.430564059	302.430564059
31	236.105600402	308.997681828	308.997681828
32	232.914161863	315.388471528	315.388471528
33	229.751834192	321.606908058	321.606908058
34	226.61835193	327.656887103	327.656887103
35	223.513452037	333.542226635	333.542226635
36	220.436873871	339.266668393	339.266668393
37	217.388359163	344.833879323	344.833879323
38	214.367651995	350.247452998	350.247452998
39	211.374498786	355.510911018	355.510911018
40	208.408648259	360.627704369	360.627704369
41	205.469851431	365.601214771	365.601214771
42	202.557861585	370.434755996	370.434755996
43	199.672434254	375.131575153	375.131575153
44	196.813327197	379.694853969	379.694853969
45	193.980300381	384.127710023	384.127710023
46	191.17311596	388.433197976	388.433197976
47	188.391538255	392.614310767	392.614310767
48	185.635333736	396.673980792	396.673980792
49	182.904271	400.615081056	400.615081056
50	180.198120753	404.440426313	404.440426313
51	177.51665579	408.152774172	408.152774172
52	174.859650979	411.754826196	411.754826196
53	172.226883238	415.249228968	415.249228968
54	169.618131517	418.638575146	418.638575146
55	167.033176783	421.925404496	421.925404496
56	164.471801999	425.112204903	425.112204903
57	161.933792105	428.201413365	428.201413365
58	159.418934001	431.195416973	431.195416973
59	156.927016532	434.096553862	434.096553862
60	154.457830465	436.907114158	436.907114158
