nShell	Diam	Weight
1	346.80737679	1.72070884555	1.72070884555
2	342.606223963	3.39997970998	3.39997970998
3	338.443387664	5.03868875846	5.03868875846
4	334.318518626	6.63769511702	6.63769511702
5	330.231270762	8.19784119233	8.19784119233
6	326.181301135	9.71995298547	9.71995298547
7	322.168269926	11.2048403999	11.2048403999
8	318.19184041	12.6532975438	12.6532975438
9	314.251678925	14.0661030268	14.0661030268
10	310.347454846	15.4440202512	15.4440202512
11	306.478840556	16.7877976981	16.7877976981
12	302.645511422	18.0981692075	18.0981692075
13	298.847145763	19.3758542543	19.3758542543
14	295.083424828	20.6215582181	20.6215582181
15	291.354032767	21.835972649	21.835972649
16	287.658656604	23.0197755278	23.0197755278
17	283.996986214	24.1736315216	24.1736315216
18	280.368714294	25.2981922348	25.2981922348
19	276.77353634	26.3940964552	26.3940964552
20	273.211150618	27.4619703961	27.4619703961
21	269.681258144	28.5024279329	28.5024279329
22	266.183562655	29.5160708367	29.5160708367
23	262.717770586	30.5034890021	30.5034890021
24	259.283591046	31.465260672	31.465260672
25	255.88073579	32.4019526577	32.4019526577
26	252.508919201	33.3141205548	33.3141205548
27	249.167858263	34.2023089554	34.2023089554
28	245.857272535	35.0670516561	35.0670516561
29	242.576884134	35.9088718628	35.9088718628
30	239.326417705	36.7282823906	36.7282823906
31	236.105600402	37.5257858608	37.5257858608
32	232.914161863	38.3018748942	38.3018748942
33	229.751834192	39.0570323007	39.0570323007
34	226.61835193	39.791731265	39.791731265
35	223.513452037	40.5064355296	40.5064355296
36	220.436873871	41.2015995738	41.2015995738
37	217.388359163	41.8776687897	41.8776687897
38	214.367651995	42.5350796547	42.5350796547
39	211.374498786	43.1742599011	43.1742599011
40	208.408648259	43.7956286823	43.7956286823
41	205.469851431	44.3995967359	44.3995967359
42	202.557861585	44.986566544	44.986566544
43	199.672434254	45.5569324904	45.5569324904
44	196.813327197	46.1110810147	46.1110810147
45	193.980300381	46.6493907639	46.6493907639
46	191.17311596	47.1722327407	47.1722327407
47	188.391538255	47.6799704499	47.6799704499
48	185.635333736	48.1729600407	48.1729600407
49	182.904271	48.6515504479	48.6515504479
50	180.198120753	49.1160835292	49.1160835292
51	177.51665579	49.5668942008	49.5668942008
52	174.859650979	50.00431057	50.00431057
53	172.226883238	50.4286540655	50.4286540655
54	169.618131517	50.8402395654	50.8402395654
55	167.033176783	51.2393755223	51.2393755223
56	164.471801999	51.6263640869	51.6263640869
57	161.933792105	52.0015012286	52.0015012286
58	159.418934001	52.365076854	52.365076854
59	156.927016532	52.7173749235	52.7173749235
60	154.457830465	53.0586735652	53.0586735652
