nShell	Diam	area10
1	346.80737679	11.2628574421	11.2628574421
2	342.606223963	22.3027884387	22.3027884387
3	338.443387664	33.1504440706	33.1504440706
4	334.318518626	43.8905074471	43.8905074471
5	330.231270762	54.7649088173	54.7649088173
6	326.181301135	65.7462172762	65.7462172762
7	322.168269926	76.642494549	76.642494549
8	318.19184041	87.3862355658	87.3862355658
9	314.251678925	97.9508219487	97.9508219487
10	310.347454846	108.323466441	108.323466441
11	306.478840556	118.497372927	118.497372927
12	302.645511422	128.468853326	128.468853326
13	298.847145763	138.236054132	138.236054132
14	295.083424828	147.798312495	147.798312495
15	291.354032767	157.155794878	157.155794878
16	287.658656604	166.309276627	166.309276627
17	283.996986214	175.259997927	175.259997927
18	280.368714294	184.009564166	184.009564166
19	276.77353634	192.559873775	192.559873775
20	273.211150618	200.913064196	200.913064196
21	269.681258144	209.071470925	209.071470925
22	266.183562655	217.037589712	217.037589712
23	262.717770586	224.812402922	224.812402922
24	259.283591046	232.392344337	232.392344337
25	255.88073579	239.784422913	239.784422913
26	252.508919201	246.994831049	246.994831049
27	249.167858263	254.01989968	254.01989968
28	245.857272535	260.874096495	260.874096495
29	242.576884134	267.55308662	267.55308662
30	239.326417705	274.059207942	274.059207942
31	236.105600402	280.402040568	280.402040568
32	232.914161863	286.580243134	286.580243134
33	229.751834192	292.596462383	292.596462383
34	226.61835193	298.453984476	298.453984476
35	223.513452037	304.156390265	304.156390265
36	220.436873871	309.713464966	309.713464966
37	217.388359163	315.124580738	315.124580738
38	214.367651995	320.392066689	320.392066689
39	211.374498786	325.518555978	325.518555978
40	208.408648259	330.506778004	330.506778004
41	205.469851431	335.359494152	335.359494152
42	202.557861585	340.079469635	340.079469635
43	199.672434254	344.669458594	344.669458594
44	196.813327197	349.132195233	349.132195233
45	193.980300381	353.470388086	353.470388086
46	191.17311596	357.686716103	357.686716103
47	188.391538255	361.783825862	361.783825862
48	185.635333736	365.764329543	365.764329543
49	182.904271	369.63080342	369.63080342
50	180.198120753	373.38578675	373.38578675
51	177.51665579	377.03178094	377.03178094
52	174.859650979	380.571248958	380.571248958
53	172.226883238	384.006614907	384.006614907
54	169.618131517	387.340263759	387.340263759
55	167.033176783	390.574541206	390.574541206
56	164.471801999	393.711753605	393.711753605
57	161.933792105	396.754168017	396.754168017
58	159.418934001	399.704012314	399.704012314
59	156.927016532	402.563475346	402.563475346
60	154.457830465	405.334707159	405.334707159
